IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.16.148.28,4,4,0.00,186.14,0.00
104.16.116.28,4,4,0.00,186.15,0.00
104.16.5.28,4,4,0.00,187.13,0.00
104.16.103.28,4,4,0.00,187.39,0.00
104.16.45.28,4,4,0.00,189.38,0.00
104.16.37.28,4,4,0.00,190.13,0.00
104.16.39.28,4,4,0.00,190.64,0.00
104.16.43.28,4,4,0.00,190.70,0.00
104.16.152.28,4,4,0.00,195.70,0.00
104.16.144.28,4,4,0.00,197.43,0.00
104.16.126.28,4,4,0.00,198.45,0.00
104.16.119.28,4,4,0.00,198.69,0.00
104.16.115.28,4,4,0.00,199.19,0.00
104.16.114.28,4,4,0.00,199.45,0.00
104.16.98.28,4,4,0.00,199.68,0.00
104.16.85.28,4,4,0.00,199.93,0.00
104.16.12.28,4,4,0.00,200.18,0.00
104.16.107.28,4,4,0.00,200.18,0.00
104.16.84.28,4,4,0.00,200.43,0.00
104.16.90.28,4,4,0.00,200.67,0.00
104.16.95.28,4,4,0.00,200.93,0.00
104.16.83.28,4,4,0.00,201.18,0.00
104.16.41.28,4,4,0.00,201.68,0.00
104.16.46.28,4,4,0.00,202.43,0.00
104.16.47.28,4,4,0.00,202.43,0.00
104.16.35.28,4,4,0.00,202.43,0.00
104.16.9.28,4,4,0.00,203.16,0.00
104.16.89.28,4,4,0.00,205.25,0.00
104.16.104.28,4,4,0.00,205.71,0.00
104.16.123.28,4,4,0.00,206.49,0.00
104.16.91.28,4,4,0.00,208.50,0.00
104.16.88.28,4,4,0.00,208.72,0.00
104.16.156.28,4,4,0.00,208.98,0.00
104.16.102.28,4,4,0.00,209.47,0.00
104.16.125.28,4,4,0.00,209.96,0.00
104.16.155.28,4,4,0.00,210.49,0.00
104.16.81.28,4,4,0.00,210.86,0.00
104.16.154.28,4,4,0.00,211.24,0.00
104.16.80.28,4,4,0.00,211.47,0.00
104.16.166.28,4,4,0.00,211.49,0.00
104.16.1.28,4,4,0.00,211.50,0.00
104.16.93.28,4,4,0.00,211.73,0.00
104.16.163.28,4,4,0.00,211.74,0.00
104.16.94.28,4,4,0.00,211.98,0.00
104.16.111.28,4,4,0.00,211.99,0.00
104.16.161.28,4,4,0.00,212.06,0.00
104.16.82.28,4,4,0.00,212.22,0.00
104.16.164.28,4,4,0.00,212.23,0.00
104.16.11.28,4,4,0.00,212.49,0.00
104.16.99.28,4,4,0.00,212.49,0.00
104.16.109.28,4,4,0.00,212.49,0.00
104.16.158.28,4,4,0.00,212.71,0.00
104.16.145.28,4,4,0.00,212.73,0.00
104.16.159.28,4,4,0.00,212.73,0.00
104.16.118.28,4,4,0.00,212.73,0.00
104.16.146.28,4,4,0.00,212.73,0.00
104.16.15.28,4,4,0.00,212.95,0.00
104.16.160.28,4,4,0.00,213.05,0.00
104.16.124.28,4,4,0.00,213.23,0.00
104.16.149.28,4,4,0.00,213.72,0.00
104.16.127.28,4,4,0.00,213.73,0.00
104.16.96.28,4,4,0.00,213.98,0.00
104.16.97.28,4,4,0.00,214.21,0.00
104.16.34.28,4,4,0.00,214.21,0.00
104.16.157.28,4,4,0.00,214.24,0.00
104.16.105.28,4,4,0.00,214.24,0.00
104.16.2.28,4,4,0.00,214.45,0.00
104.16.44.28,4,4,0.00,214.46,0.00
104.16.38.28,4,4,0.00,214.47,0.00
104.16.92.28,4,4,0.00,214.48,0.00
104.16.32.28,4,4,0.00,214.72,0.00
104.16.40.28,4,4,0.00,214.72,0.00
104.16.151.28,4,4,0.00,214.72,0.00
104.16.33.28,4,4,0.00,214.73,0.00
104.16.122.28,4,4,0.00,215.47,0.00
104.16.4.28,4,4,0.00,215.47,0.00
104.16.101.28,4,4,0.00,215.73,0.00
162.159.201.28,4,4,0.00,215.98,0.00
104.16.7.28,4,4,0.00,216.72,0.00
104.16.36.28,4,4,0.00,216.98,0.00
104.16.14.28,4,4,0.00,216.99,0.00
